dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,packet-random-gaussian,herrmann,0.24852209007495488,0.49704418014990975,False
liberatore,packet-random-gaussian,panchenko,0.021480713515536307,0.04296142703107261,False
liberatore,packet-random-gaussian,vng++,0.025833894096224698,0.051667788192449396,False
liberatore,packet-random-gaussian,CUMUL,0.025715832202617347,0.051431664405234695,False
liberatore,session-random-255,liberatore,0.061319367597595466,0.12263873519519093,False
liberatore,session-random-255,herrmann,0.12880507428502486,0.2576101485700497,False
liberatore,session-random-255,panchenko,0.03295665659870309,0.06591331319740618,False
liberatore,session-random-255,vng++,0.0308073448250655,0.061614689650131,False
liberatore,session-random-255,CUMUL,0.0272623328280239,0.0545246656560478,False
liberatore,packet-random-255,liberatore,0.0532653755263794,0.1065307510527588,False
liberatore,packet-random-255,herrmann,0.14494940358565864,0.2898988071713173,False
liberatore,packet-random-255,panchenko,0.02235703235132246,0.04471406470264492,False
liberatore,packet-random-255,vng++,0.025857342259711976,0.05171468451942395,False
liberatore,packet-random-255,CUMUL,0.026902758693261322,0.053805517386522644,False
liberatore,none,liberatore,0.016793549768174234,0.03358709953634847,False
liberatore,none,herrmann,0.013258273376859442,0.026516546753718884,False
liberatore,none,panchenko,0.016830389838945907,0.033660779677891814,False
liberatore,none,vng++,0.029080598360752233,0.058161196721504466,False
liberatore,none,CUMUL,0.026092554201592354,0.05218510840318471,False
liberatore,session-random-gaussian,liberatore,0.12989307303409625,0.2597861460681925,False
liberatore,session-random-gaussian,herrmann,0.28743815710354326,0.5748763142070865,False
liberatore,session-random-gaussian,panchenko,0.03483437925447345,0.0696687585089469,False
liberatore,session-random-gaussian,vng++,0.0330091402806622,0.0660182805613244,False
liberatore,session-random-gaussian,CUMUL,0.02864806646689054,0.05729613293378108,False
liberatore,packet-random-gaussian,liberatore,0.14188500454404077,0.28377000908808153,False
liberatore,packet-random-gaussian,herrmann,0.2229556247666126,0.4459112495332252,False
liberatore,packet-random-gaussian,panchenko,0.022750636794826404,0.04550127358965281,False
liberatore,packet-random-gaussian,vng++,0.02909738893006161,0.05819477786012322,False
liberatore,packet-random-gaussian,CUMUL,0.027607147230295982,0.055214294460591964,False
liberatore,session-random-255,liberatore,0.05826415453757892,0.11652830907515783,False
liberatore,session-random-255,herrmann,0.12650204221744607,0.25300408443489214,False
liberatore,session-random-255,panchenko,0.033007710015196555,0.06601542003039311,False
liberatore,session-random-255,vng++,0.03595364098793028,0.07190728197586056,False
liberatore,session-random-255,CUMUL,0.02894221611277374,0.05788443222554748,False
liberatore,packet-random-255,liberatore,0.06386911914727599,0.12773823829455197,False
liberatore,packet-random-255,herrmann,0.14826132117733268,0.29652264235466536,False
liberatore,packet-random-255,panchenko,0.021351468711135975,0.04270293742227195,False
liberatore,packet-random-255,vng++,0.02884776177316427,0.05769552354632854,False
liberatore,packet-random-255,CUMUL,0.02895666409935028,0.05791332819870056,False
liberatore,none,liberatore,0.01808433544149106,0.03616867088298212,False
liberatore,none,herrmann,0.01622082974917434,0.03244165949834868,False
liberatore,none,panchenko,0.018013277149910394,0.03602655429982079,False
liberatore,none,vng++,0.027368587896962948,0.054737175793925896,False
liberatore,none,CUMUL,0.02875990241074776,0.05751980482149552,False
liberatore,session-random-gaussian,liberatore,0.13360998117493866,0.2672199623498773,False
liberatore,session-random-gaussian,herrmann,0.29872268958311177,0.5974453791662235,False
