scheme,uniform_mean,uniform_std,gaussian_mean,gaussian_std,t,p<,p>,p!=
packet,0.16690714422215241,0.013056915063252093,0.16725457711197705,0.013126213901773352,-3.6200510077285877,0.0003484362561647548,0.9996515637438352,0.0006968725123295096
session,0.16748204362179547,0.012917854813286486,0.16736253694566092,0.013566007681073541,0.24574594588828175,0.5965473260906908,0.40345267390930917,0.8069053478186183
