dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,packet-random-255,panchenko,128,164,0,18,4,0.814453125
liberatore,session-random-gaussian,panchenko,128,12,0,18,4,0.732421875
liberatore,packet-random-gaussian,panchenko,128,148,0,18,4,0.828125
liberatore,none,panchenko,128,132,0,18,4,0.91796875
liberatore,session-random-255,panchenko,128,175,0,18,4,0.755859375
liberatore,packet-random-255,panchenko,128,3,0,18,4,0.80078125
liberatore,session-random-gaussian,panchenko,128,27,0,18,4,0.79296875
liberatore,packet-random-gaussian,panchenko,128,42,0,18,4,0.798828125
liberatore,none,panchenko,128,33,0,18,4,0.861328125
liberatore,session-random-255,panchenko,128,62,0,18,4,0.623046875
liberatore,packet-random-255,panchenko,128,151,0,18,4,0.748046875
liberatore,session-random-gaussian,panchenko,128,9,0,18,4,0.6484375
liberatore,packet-random-gaussian,panchenko,128,112,0,18,4,0.74609375
liberatore,none,panchenko,128,99,0,18,4,0.8984375
liberatore,session-random-255,panchenko,128,113,0,18,4,0.697265625
liberatore,packet-random-255,panchenko,128,126,0,18,4,0.81640625
liberatore,session-random-gaussian,panchenko,128,159,0,18,4,0.75390625
liberatore,packet-random-gaussian,panchenko,128,117,0,18,4,0.814453125
liberatore,none,panchenko,128,49,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,93,0,18,4,0.759765625
liberatore,packet-random-255,panchenko,128,80,0,18,4,0.7734375
liberatore,session-random-gaussian,panchenko,128,13,0,18,4,0.724609375
liberatore,packet-random-gaussian,panchenko,128,138,0,18,4,0.798828125
liberatore,none,panchenko,128,34,0,18,4,0.92578125
liberatore,session-random-255,panchenko,128,159,0,18,4,0.72265625
liberatore,packet-random-255,panchenko,128,160,0,18,4,0.794921875
liberatore,session-random-gaussian,panchenko,128,142,0,18,4,0.748046875
liberatore,packet-random-gaussian,panchenko,128,165,0,18,4,0.80859375
liberatore,none,panchenko,128,126,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,44,0,18,4,0.701171875
liberatore,packet-random-255,panchenko,128,79,0,18,4,0.794921875
liberatore,session-random-gaussian,panchenko,128,79,0,18,4,0.712890625
liberatore,packet-random-gaussian,panchenko,128,64,0,18,4,0.794921875
liberatore,none,panchenko,128,69,0,18,4,0.921875
liberatore,session-random-255,panchenko,128,73,0,18,4,0.734375
liberatore,packet-random-255,panchenko,128,137,0,18,4,0.822265625
liberatore,session-random-gaussian,panchenko,128,56,0,18,4,0.748046875
liberatore,packet-random-gaussian,panchenko,128,180,0,18,4,0.806640625
liberatore,none,panchenko,128,182,0,18,4,0.91015625
liberatore,session-random-255,panchenko,128,101,0,18,4,0.728515625
liberatore,packet-random-255,panchenko,128,139,0,18,4,0.8515625
liberatore,session-random-gaussian,panchenko,128,41,0,18,4,0.765625
liberatore,packet-random-gaussian,panchenko,128,161,0,18,4,0.84765625
liberatore,none,panchenko,128,60,0,18,4,0.87109375
liberatore,session-random-255,panchenko,128,170,0,18,4,0.697265625
liberatore,packet-random-255,panchenko,128,47,0,18,4,0.78515625
liberatore,session-random-gaussian,panchenko,128,47,0,18,4,0.708984375
liberatore,packet-random-gaussian,panchenko,128,21,0,18,4,0.787109375
liberatore,none,panchenko,128,83,0,18,4,0.888671875
liberatore,session-random-255,panchenko,128,173,0,18,4,0.671875
liberatore,packet-random-255,panchenko,128,145,0,18,4,0.744140625
liberatore,session-random-gaussian,panchenko,128,41,0,18,4,0.69921875
liberatore,packet-random-gaussian,panchenko,128,148,0,18,4,0.76953125
liberatore,none,panchenko,128,148,0,18,4,0.921875
liberatore,session-random-255,panchenko,128,133,0,18,4,0.75
liberatore,packet-random-255,panchenko,128,108,0,18,4,0.849609375
liberatore,session-random-gaussian,panchenko,128,12,0,18,4,0.779296875
liberatore,packet-random-gaussian,panchenko,128,151,0,18,4,0.84375
liberatore,none,panchenko,128,5,0,18,4,0.86328125
liberatore,session-random-255,panchenko,128,92,0,18,4,0.71484375
liberatore,packet-random-255,panchenko,128,51,0,18,4,0.759765625
liberatore,session-random-gaussian,panchenko,128,41,0,18,4,0.69921875
liberatore,packet-random-gaussian,panchenko,128,165,0,18,4,0.765625
liberatore,none,panchenko,128,182,0,18,4,0.92578125
liberatore,session-random-255,panchenko,128,61,0,18,4,0.744140625
liberatore,packet-random-255,panchenko,128,154,0,18,4,0.861328125
liberatore,session-random-gaussian,panchenko,128,108,0,18,4,0.771484375
liberatore,packet-random-gaussian,panchenko,128,112,0,18,4,0.8671875
liberatore,none,panchenko,128,25,0,18,4,0.888671875
liberatore,session-random-255,panchenko,128,106,0,18,4,0.69140625
liberatore,packet-random-255,panchenko,128,139,0,18,4,0.806640625
liberatore,session-random-gaussian,panchenko,128,100,0,18,4,0.732421875
liberatore,packet-random-gaussian,panchenko,128,75,0,18,4,0.798828125
liberatore,none,panchenko,128,53,0,18,4,0.939453125
liberatore,session-random-255,panchenko,128,140,0,18,4,0.734375
liberatore,packet-random-255,panchenko,128,133,0,18,4,0.810546875
liberatore,session-random-gaussian,panchenko,128,6,0,18,4,0.76171875
liberatore,packet-random-gaussian,panchenko,128,152,0,18,4,0.806640625
liberatore,none,panchenko,128,132,0,18,4,0.935546875
liberatore,session-random-255,panchenko,128,167,0,18,4,0.771484375
liberatore,packet-random-255,panchenko,128,2,0,18,4,0.830078125
liberatore,session-random-gaussian,panchenko,128,88,0,18,4,0.740234375
liberatore,packet-random-gaussian,panchenko,128,37,0,18,4,0.810546875
liberatore,none,panchenko,128,159,0,18,4,0.89453125
liberatore,session-random-255,panchenko,128,156,0,18,4,0.689453125
liberatore,packet-random-255,panchenko,128,117,0,18,4,0.791015625
liberatore,session-random-gaussian,panchenko,128,131,0,18,4,0.6875
liberatore,packet-random-gaussian,panchenko,128,2,0,18,4,0.765625
liberatore,none,panchenko,128,130,0,18,4,0.91796875
liberatore,session-random-255,panchenko,128,65,0,18,4,0.7734375
liberatore,packet-random-255,panchenko,128,116,0,18,4,0.833984375
liberatore,session-random-gaussian,panchenko,128,67,0,18,4,0.759765625
liberatore,packet-random-gaussian,panchenko,128,158,0,18,4,0.8359375
liberatore,none,panchenko,128,131,0,18,4,0.9080234833659491
liberatore,session-random-255,panchenko,128,183,0,18,4,0.7592954990215264
liberatore,packet-random-255,panchenko,128,48,0,18,4,0.8238747553816047
liberatore,session-random-gaussian,panchenko,128,128,0,18,4,0.7592954990215264
liberatore,packet-random-gaussian,panchenko,128,81,0,18,4,0.821917808219178
liberatore,none,panchenko,128,17,0,18,4,0.8984375
liberatore,session-random-255,panchenko,128,24,0,18,4,0.71875
liberatore,packet-random-255,panchenko,128,172,0,18,4,0.78125
liberatore,session-random-gaussian,panchenko,128,108,0,18,4,0.72265625
liberatore,packet-random-gaussian,panchenko,128,10,0,18,4,0.791015625
liberatore,none,panchenko,128,140,0,18,4,0.9140625
liberatore,session-random-255,panchenko,128,76,0,18,4,0.75
liberatore,packet-random-255,panchenko,128,121,0,18,4,0.826171875
liberatore,session-random-gaussian,panchenko,128,10,0,18,4,0.765625
liberatore,packet-random-gaussian,panchenko,128,83,0,18,4,0.83203125
liberatore,none,panchenko,128,166,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,57,0,18,4,0.740234375
liberatore,packet-random-255,panchenko,128,153,0,18,4,0.80859375
liberatore,session-random-gaussian,panchenko,128,90,0,18,4,0.734375
liberatore,packet-random-gaussian,panchenko,128,40,0,18,4,0.833984375
liberatore,none,panchenko,128,112,0,18,4,0.89453125
liberatore,session-random-255,panchenko,128,78,0,18,4,0.701171875
liberatore,packet-random-255,panchenko,128,53,0,18,4,0.791015625
liberatore,session-random-gaussian,panchenko,128,48,0,18,4,0.720703125
liberatore,packet-random-gaussian,panchenko,128,38,0,18,4,0.80859375
liberatore,none,panchenko,128,13,0,18,4,0.923828125
liberatore,session-random-255,panchenko,128,139,0,18,4,0.751953125
liberatore,packet-random-255,panchenko,128,59,0,18,4,0.8359375
liberatore,session-random-gaussian,panchenko,128,83,0,18,4,0.775390625
liberatore,packet-random-gaussian,panchenko,128,183,0,18,4,0.8515625
liberatore,none,panchenko,128,10,0,18,4,0.87890625
liberatore,session-random-255,panchenko,128,61,0,18,4,0.65625
liberatore,packet-random-255,panchenko,128,17,0,18,4,0.76953125
liberatore,session-random-gaussian,panchenko,128,121,0,18,4,0.671875
liberatore,packet-random-gaussian,panchenko,128,35,0,18,4,0.73828125
liberatore,none,panchenko,128,60,0,18,4,0.91015625
liberatore,session-random-255,panchenko,128,66,0,18,4,0.744140625
liberatore,packet-random-255,panchenko,128,107,0,18,4,0.8046875
liberatore,session-random-gaussian,panchenko,128,15,0,18,4,0.73046875
liberatore,packet-random-gaussian,panchenko,128,143,0,18,4,0.806640625
liberatore,none,panchenko,128,30,0,18,4,0.931640625
liberatore,session-random-255,panchenko,128,105,0,18,4,0.7734375
liberatore,packet-random-255,panchenko,128,10,0,18,4,0.826171875
liberatore,session-random-gaussian,panchenko,128,46,0,18,4,0.751953125
liberatore,packet-random-gaussian,panchenko,128,135,0,18,4,0.826171875
liberatore,none,panchenko,128,173,0,18,4,0.8984375
liberatore,session-random-255,panchenko,128,179,0,18,4,0.724609375
liberatore,packet-random-255,panchenko,128,153,0,18,4,0.7734375
liberatore,session-random-gaussian,panchenko,128,26,0,18,4,0.72265625
liberatore,packet-random-gaussian,panchenko,128,114,0,18,4,0.7734375
liberatore,none,panchenko,128,26,0,18,4,0.8884540117416829
liberatore,session-random-255,panchenko,128,160,0,18,4,0.7240704500978473
liberatore,packet-random-255,panchenko,128,63,0,18,4,0.8003913894324853
liberatore,session-random-gaussian,panchenko,128,30,0,18,4,0.7573385518590998
liberatore,packet-random-gaussian,panchenko,128,81,0,18,4,0.8023483365949119
liberatore,none,panchenko,128,87,0,18,4,0.90234375
liberatore,session-random-255,panchenko,128,26,0,18,4,0.748046875
liberatore,packet-random-255,panchenko,128,162,0,18,4,0.798828125
liberatore,session-random-gaussian,panchenko,128,112,0,18,4,0.7265625
liberatore,packet-random-gaussian,panchenko,128,66,0,18,4,0.798828125
